time="2023-06-10T11:58:30+02:00" level=info msg="Loading config file"
time="2023-06-10T11:58:30+02:00" level=debug msg="Path ~/Descargas became /home/mproffitt/Descargas"
time="2023-06-10T11:58:30+02:00" level=debug msg="Path ~/Imágenes/input became /home/mproffitt/Imágenes/input"
time="2023-06-10T11:58:30+02:00" level=debug msg="Path ~/Imágenes/workbench/xcf became /home/mproffitt/Imágenes/workbench/xcf"
time="2023-06-10T11:58:30+02:00" level=debug msg="Path ~/test/{{.date}} became /home/mproffitt/test/{{.date}}"
time="2023-06-10T11:58:30+02:00" level=debug msg="Path ~/bin became /home/mproffitt/bin"
time="2023-06-10T11:58:30+02:00" level=debug msg="Path ~/Imágenes/workbench/{{.ucext}}/{{.date}} became /home/mproffitt/Imágenes/workbench/{{.ucext}}/{{.date}}"
time="2023-06-10T11:58:30+02:00" level=info msg="Done loading config file"
time="2023-06-10T11:58:30+02:00" level=debug msg="&{RWMutex:{w:{state:0 sema:0} writerSem:0 readerSem:0 readerCount:0 readerWait:0} Watch:[/home/mproffitt/Descargas /home/mproffitt/Imágenes/input] Processors:[{Type:image/x-xcf Path:/home/mproffitt/Imágenes/workbench/xcf Handler:move Properties:map[]} {Type:application/gzip Path:/home/mproffitt/test/{{.date}} Handler:extract Properties:map[]} {Type:application/x-executable Path:/home/mproffitt/bin Handler:install Properties:map[lowercase-destination:true strip-extension:true]} {Type:image/x-dcraw Path:/home/mproffitt/Imágenes/workbench/{{.ucext}}/{{.date}} Handler:plugins/example.bash Properties:map[]}] DelayInSeconds:5ns CleanupZeroByte:true PluginPath:plugins}"
time="2023-06-10T11:58:30+02:00" level=info msg="Starting watchers"
time="2023-06-10T11:58:30+02:00" level=info msg="Starting listening to: /home/mproffitt/Imágenes/input"
time="2023-06-10T11:58:30+02:00" level=info msg="Starting listening to: /home/mproffitt/Descargas"
time="2023-06-10T11:58:32+02:00" level=debug msg="&{image image/x-canon-cr3 [image/x-dcraw] .CR3}"
time="2023-06-10T11:58:32+02:00" level=debug msg="&{image image/x-canon-cr3 [image/x-dcraw] .CR3}"
time="2023-06-10T11:58:32+02:00" level=debug msg="&{image image/x-canon-cr3 [image/x-dcraw] .CR3}"
time="2023-06-10T11:58:32+02:00" level=debug msg="&{image image/x-canon-cr3 [image/x-dcraw] .CR3}"
time="2023-06-10T11:58:32+02:00" level=debug msg="&{image image/x-canon-cr3 [image/x-dcraw] .CR3}"
time="2023-06-10T11:58:32+02:00" level=debug msg="&{image image/x-canon-cr3 [image/x-dcraw] .CR3}"
time="2023-06-10T11:58:32+02:00" level=debug msg="&{image image/x-canon-cr3 [image/x-dcraw] .CR3}"
time="2023-06-10T11:58:32+02:00" level=debug msg="&{image image/x-canon-cr3 [image/x-dcraw] .CR3}"
time="2023-06-10T11:58:32+02:00" level=debug msg="&{image image/x-canon-cr3 [image/x-dcraw] .CR3}"
time="2023-06-10T11:58:32+02:00" level=debug msg="&{image image/x-canon-cr3 [image/x-dcraw] .CR3}"
time="2023-06-10T11:58:32+02:00" level=debug msg="&{image image/x-canon-cr3 [image/x-dcraw] .CR3}"
time="2023-06-10T11:58:32+02:00" level=debug msg="&{image image/x-canon-cr3 [image/x-dcraw] .CR3}"
time="2023-06-10T11:58:32+02:00" level=debug msg="&{image image/x-canon-cr3 [image/x-dcraw] .CR3}"
